uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
428,1,6,12,7,4.166666666666667,7,7,17,0
504,1,4,24,23,3.5,7,13,13,0
523,1,3,10,13,4.666666666666667,6,11,21,0
534,1,7,10,7,4.166666666666667,2,4,25,0
543,3,2,7,6,2.1666666666666665,2,3,20,0
549,1,2,12,9,4.666666666666667,3,5,18,0
555,3,3,10,6,4.333333333333333,6,8,24,0
556,1,2,26,7,4.666666666666667,8,16,17,0
577,1,4,13,12,4.166666666666667,6,4,18,0
581,3,4,9,6,4,6,10,21,0
605,3,0,7,6,4,6,13,17,0
606,1,4,10,10,5.333333333333333,3,10,23,0
611,1,12,18,7,5.166666666666667,6,16,20,0
671,3,2,7,6,3.3333333333333335,3,3,21,0
672,3,0,7,6,1.1666666666666667,3,5,27,0
734,3,1,7,6,4.333333333333333,4,9,16,0
739,1,1,21,19,5.333333333333333,4,9,19,0
744,3,0,11,6,3.8333333333333335,5,21,24,0
747,3,0,7,6,1,14,7,16,0
757,3,2,7,6,2.6666666666666665,2,9,26,0
759,3,1,13,6,3.5,2,7,21,0
785,3,5,7,6,3.8333333333333335,3,9,21,0
806,1,2,8,11,3.3333333333333335,5,10,20,0
811,1,3,17,17,5.5,2,5,14,0
968,1,6,25,8,5.333333333333333,7,9,19,0
969,1,3,21,12,5,5,8,16,0
1035,1,2,10,19,2.6666666666666665,6,9,25,0
1048,1,0,15,7,1.6666666666666667,7,11,18,0
1109,1,4,18,11,3.5,3,3,24,0
1130,3,2,9,6,3.6666666666666665,6,12,18,0
1133,1,7,18,18,5.833333333333333,10,14,18,0
1136,1,7,25,18,4,13,18,14,0
1141,1,9,13,15,2.6666666666666665,6,9,18,0
1145,1,5,7,8,4.5,10,3,18,0
1174,2,7,7,9,3.3333333333333335,11,21,5,1
1239,1,7,11,12,4.333333333333333,5,8,14,0
1416,1,1,16,9,3.8333333333333335,6,15,22,0
1438,3,1,7,6,3.8333333333333335,8,9,20,0
1440,3,1,11,6,2.1666666666666665,11,15,18,0
1454,1,0,22,6,4,3,13,20,0
1546,3,2,8,7,1.3333333333333333,4,9,24,0
1625,3,1,7,6,3.3333333333333335,6,6,22,0
1759,1,3,28,6,5.166666666666667,2,15,20,0
1852,1,1,14,6,3,6,19,19,0
1870,3,0,9,6,3.6666666666666665,2,9,20,0
1888,3,1,7,6,5.166666666666667,7,14,16,0
1949,1,15,17,10,6,4,8,18,0
2015,1,12,7,6,4,11,6,16,0
2029,3,0,7,7,4.666666666666667,9,14,17,0
2034,1,5,16,6,5.5,5,12,23,0
2039,3,0,7,6,2.1666666666666665,2,3,16,0
2088,3,2,7,6,4.5,2,3,20,0
2108,1,4,16,7,5.333333333333333,2,8,22,0
2197,3,3,7,6,4.5,6,6,17,0
2203,1,2,22,11,5,7,15,24,0
2205,1,1,11,20,5.166666666666667,10,7,18,0
2217,3,1,11,6,1.5,6,13,18,0
2255,1,2,12,12,4.166666666666667,11,12,22,0
2299,2,3,7,13,3.8333333333333335,5,6,14,3
2302,1,10,10,16,3.3333333333333335,6,11,16,0
2317,3,5,7,6,4.166666666666667,3,8,16,0
2341,3,3,7,6,1.5,2,5,17,0
2348,1,3,8,10,2.5,9,11,19,0
2369,3,2,8,7,2.5,8,9,17,0
2402,3,4,8,6,3.1666666666666665,10,14,20,0
2407,3,5,7,6,4.333333333333333,2,6,20,0
2430,1,1,7,9,3.1666666666666665,2,3,18,0
2465,1,7,11,20,5.666666666666667,12,13,24,0
2471,3,3,7,6,3.6666666666666665,2,4,24,0
2537,1,6,17,17,5.5,5,5,17,0
2576,1,3,21,10,4,5,3,23,0
2580,2,3,25,20,6,3,11,20,3
2588,3,5,7,6,3,4,7,20,0
2596,1,7,8,9,2,3,10,23,0
2661,1,6,11,18,3,9,16,4,0
2867,1,4,24,11,5.5,8,12,24,0
2868,3,2,7,6,3.5,2,5,20,0
2923,3,5,7,6,3,8,9,21,0
2947,2,16,10,18,3.6666666666666665,13,15,16,1
2997,2,8,13,20,5.666666666666667,5,8,16,3
3030,3,1,9,6,3.6666666666666665,11,11,16,0
3042,3,3,7,6,3,3,12,23,0
3130,1,4,11,17,6,3,5,24,0
3154,1,2,14,6,3.1666666666666665,3,12,19,0
3169,3,1,7,6,3.5,10,6,27,0
3215,1,7,11,11,5.166666666666667,5,15,24,0
3227,1,7,7,6,5.166666666666667,2,6,24,0
3278,1,4,10,10,2.8333333333333335,11,11,15,0
3286,1,5,7,9,2.3333333333333335,11,13,16,0
3304,1,7,17,10,3,5,6,21,0
3338,1,2,9,10,2.8333333333333335,8,17,14,0
3347,1,5,8,14,2.6666666666666665,8,6,12,0
3367,1,4,11,14,4.166666666666667,11,13,21,0
3373,1,10,11,19,4,4,11,22,0
3374,1,7,7,7,2.3333333333333335,5,11,15,0
3395,3,3,7,7,2.6666666666666665,2,6,24,0
3402,1,2,7,14,3.5,13,9,15,0
3424,1,6,8,13,3.6666666666666665,7,10,20,0
3485,1,14,7,15,4,12,18,8,0
3522,1,4,11,14,3.8333333333333335,5,7,15,0
3541,1,2,35,30,1,14,21,4,0
3575,1,5,19,17,3,13,20,20,0
3597,3,2,9,7,2.5,4,9,18,0
3602,3,3,7,6,3.8333333333333335,7,4,9,0
3604,1,3,9,11,2.6666666666666665,13,7,16,0
3620,1,7,39,29,4.5,7,15,17,0
3641,1,14,11,15,3,12,9,20,0
3674,1,5,19,6,3.1666666666666665,12,5,15,0
3687,3,3,7,6,3.5,4,7,16,0
3706,3,0,9,7,3.1666666666666665,6,11,12,0
3715,1,4,12,18,4,2,8,15,0
3740,2,31,22,27,3.6666666666666665,14,6,13,0
3768,1,6,7,14,1.1666666666666667,7,11,15,0
3781,1,3,7,10,2.3333333333333335,9,7,17,0
3851,1,7,8,20,2.5,12,18,13,0
3855,3,5,7,6,2.5,2,3,20,0
3921,1,5,7,12,2.8333333333333335,10,21,4,0
3939,1,3,8,13,3.8333333333333335,4,6,19,0
3952,3,0,7,6,1.6666666666666667,8,15,20,0
3960,1,6,27,22,3.5,8,16,24,0
3966,1,4,7,8,1.5,5,17,13,0
3979,1,0,11,8,1,11,11,19,0
4090,1,2,10,10,2,7,10,20,0
4124,1,1,8,11,3.5,2,4,19,0
4153,1,10,9,11,3.8333333333333335,6,9,15,0
4163,1,10,22,25,2.1666666666666665,8,17,11,0
4208,1,3,7,11,2.8333333333333335,9,9,16,0
4212,1,8,21,22,4.5,4,7,22,0
4327,1,5,12,12,2,10,10,13,0
4344,1,7,7,12,1.3333333333333333,8,16,17,0
4345,1,6,22,16,4.333333333333333,2,7,22,0
4346,1,4,8,10,2.6666666666666665,2,7,16,0
4390,1,5,21,21,5,5,15,22,0
4417,1,2,12,10,2.1666666666666665,6,9,15,0
4423,1,3,7,12,4.666666666666667,5,6,20,0
4441,1,6,13,19,2.6666666666666665,11,10,19,0
4466,1,7,7,11,2.6666666666666665,13,6,8,0
4495,1,10,17,20,3.8333333333333335,11,11,20,0
4496,3,2,7,6,4.333333333333333,5,9,24,0
4511,1,7,7,10,2.3333333333333335,5,8,18,0
4539,1,7,10,16,2.6666666666666665,3,8,18,0
4547,1,4,10,11,2.5,7,15,15,0
4556,2,31,11,13,2,7,10,19,0
4573,2,21,27,27,3,7,8,18,1
4576,1,2,11,11,1.3333333333333333,6,7,15,0
4617,1,3,7,19,2.1666666666666665,3,9,21,0
4649,1,4,13,11,2,6,8,16,0
4652,3,5,7,6,1.6666666666666667,11,7,20,0
4726,1,12,18,6,3.8333333333333335,4,8,24,0
4761,1,4,10,15,3,2,6,25,0
4772,1,4,7,28,5,10,13,14,0
4775,1,3,7,12,1.6666666666666667,6,8,15,0
4801,3,3,7,6,3,6,8,19,0
4803,1,10,26,24,5.333333333333333,2,4,20,0
4839,1,20,19,24,2.8333333333333335,7,8,12,0
4897,1,3,10,13,1.8333333333333333,5,9,18,0
4959,1,4,13,20,3.6666666666666665,11,19,13,0
4962,1,7,7,8,3.3333333333333335,10,15,16,0
4973,1,1,7,10,3,10,9,17,0
5024,3,0,12,6,1.6666666666666667,7,16,16,0
5114,1,3,9,11,3,3,13,19,0
5138,3,3,8,6,3.8333333333333335,4,8,22,0
5165,1,6,9,14,1.1666666666666667,2,10,25,0
5169,1,5,11,18,3,13,19,15,0
5226,1,6,18,8,5,7,12,19,0
5242,1,10,28,19,1.8333333333333333,3,15,8,0
5260,1,4,31,22,3.8333333333333335,5,8,23,0
5312,1,7,18,25,3.5,2,15,25,0
5314,3,4,7,6,2.1666666666666665,2,4,21,0
5324,1,3,16,11,2,7,7,19,0
5456,1,10,14,8,4.833333333333333,5,7,16,0
5488,1,0,19,13,3,11,13,10,0
5504,1,8,13,22,2.8333333333333335,12,17,11,0
5533,1,5,7,14,1.8333333333333333,9,15,15,0
5543,1,11,11,13,2.8333333333333335,5,11,18,0
5563,2,5,11,14,1.1666666666666667,9,15,11,2
5625,1,10,10,16,4.333333333333333,2,11,20,0
5627,3,2,7,6,2.5,9,11,26,0
5644,1,4,17,12,3.5,6,12,14,0
5648,2,14,7,6,1.1666666666666667,3,9,18,3
5680,1,4,7,9,4.166666666666667,4,18,21,0
5701,3,4,7,7,1.8333333333333333,13,17,12,0
5721,3,3,7,6,2.1666666666666665,2,4,17,0
5810,1,4,13,18,3.3333333333333335,12,8,15,0
5811,1,7,22,20,4,5,17,17,0
5814,1,10,8,6,3.3333333333333335,7,8,18,0
5815,3,4,7,7,1.5,9,8,17,0
5830,1,7,27,27,2,2,19,8,0
5867,3,4,9,6,2.6666666666666665,10,6,13,0
5917,1,2,7,13,2.1666666666666665,12,16,14,0
5931,1,7,24,12,2.8333333333333335,12,15,21,0
5934,1,7,21,26,3.3333333333333335,12,15,18,0
6004,1,7,13,18,2.6666666666666665,10,12,17,0
6035,1,6,7,12,3,12,7,18,0
6051,1,6,11,21,1.6666666666666667,11,12,14,0
6107,1,5,14,8,2.3333333333333335,2,11,13,0
6112,1,6,22,12,3.1666666666666665,8,4,22,0
6150,1,16,9,18,2.6666666666666665,13,18,17,0
6169,1,4,25,15,5.166666666666667,2,10,17,0
6174,1,5,9,27,3.3333333333333335,11,19,20,0
