uid,cluster,sex_drive,csbd,ppcs,soi_r_me,social_anxiety,lon,mvs,attraction_to_children
426,3,1,14,14,5.166666666666667,10,15,22,0
443,3,10,15,23,5.666666666666667,7,6,22,0
479,3,4,13,15,4.333333333333333,7,10,20,0
507,3,1,14,6,2,4,10,18,0
523,3,3,10,13,4.666666666666667,6,11,21,0
555,2,3,10,6,4.333333333333333,6,8,24,0
558,2,0,7,7,3,2,15,20,0
604,3,5,21,15,3.8333333333333335,4,12,21,0
611,3,12,18,7,5.166666666666667,6,16,20,0
621,2,0,7,6,4.833333333333333,8,11,15,0
672,2,0,7,6,1.1666666666666667,3,5,27,0
687,2,0,7,6,2.3333333333333335,4,3,21,0
728,3,6,7,7,4.166666666666667,9,15,17,0
744,2,0,11,6,3.8333333333333335,5,21,24,0
747,2,0,7,6,1,14,7,16,0
764,3,1,16,6,1.1666666666666667,14,3,20,0
777,3,14,8,6,2,2,9,19,0
779,2,1,7,6,5.5,2,10,23,0
825,2,0,7,6,3,11,9,12,0
834,3,9,8,7,4,7,4,19,0
836,3,4,14,21,5.833333333333333,2,5,24,0
864,3,10,23,29,4.666666666666667,9,4,16,0
889,2,2,12,6,4.666666666666667,2,11,19,0
907,3,4,8,10,2.8333333333333335,8,5,23,0
957,3,2,21,19,4,6,7,20,0
967,3,7,32,28,2,6,11,19,0
985,3,3,13,17,6,11,20,15,0
1035,3,2,10,19,2.6666666666666665,6,9,25,0
1064,3,5,15,15,5,11,14,21,0
1069,2,5,7,6,5.333333333333333,5,15,13,0
1130,2,2,9,6,3.6666666666666665,6,12,18,0
1203,3,3,8,9,4.333333333333333,4,10,23,0
1235,3,4,7,11,4.833333333333333,2,17,14,0
1250,3,10,7,35,3.8333333333333335,8,18,16,0
1274,2,1,11,6,4.333333333333333,2,9,18,0
1416,3,1,16,9,3.8333333333333335,6,15,22,0
1458,3,0,7,12,4.833333333333333,8,8,17,0
1459,3,0,7,8,2.6666666666666665,4,9,15,0
1463,2,2,13,6,1.8333333333333333,4,9,18,0
1491,3,6,7,18,3.3333333333333335,10,10,18,0
1936,2,0,10,6,4.5,4,14,22,0
1981,2,4,9,6,2.8333333333333335,3,6,25,0
2006,2,4,13,6,4,3,12,19,0
2034,3,5,16,6,5.5,5,12,23,0
2038,2,3,7,6,3.5,4,7,23,0
2046,3,7,7,6,3,4,6,15,0
2049,2,3,7,6,4,10,9,21,0
2054,3,3,11,14,2.8333333333333335,5,5,18,0
2072,3,10,9,8,5.166666666666667,9,10,18,0
2101,2,0,7,6,3.8333333333333335,8,3,24,0
2127,3,4,11,9,3.8333333333333335,2,6,21,0
2134,3,0,19,6,5.166666666666667,14,3,4,0
2137,3,2,16,17,3.3333333333333335,3,8,20,0
2156,3,0,24,6,5.333333333333333,4,7,21,0
2167,2,3,7,6,5.333333333333333,4,6,25,0
2190,2,3,7,7,1.5,5,8,15,0
2205,3,1,11,20,5.166666666666667,10,7,18,0
2211,2,0,11,6,4.833333333333333,3,10,23,0
2218,3,3,27,6,5,13,13,15,0
2223,3,1,25,6,5.833333333333333,12,15,10,0
2286,2,0,9,6,3.3333333333333335,2,5,17,0
2289,3,3,15,12,4.666666666666667,2,8,20,0
2299,1,3,7,13,3.8333333333333335,5,6,14,3
2303,2,1,7,6,2,2,12,19,0
2305,3,3,9,10,4.166666666666667,3,3,22,0
2315,3,1,38,6,5.5,2,5,18,0
2322,1,3,7,7,5.5,7,6,14,1
2371,3,10,33,21,5.166666666666667,4,9,24,0
2389,2,0,7,6,3,8,14,13,0
2415,3,14,7,12,3,3,11,20,0
2458,3,4,14,14,3.8333333333333335,8,6,18,0
2494,1,2,7,16,3.5,6,12,13,1
2509,1,7,14,15,4.166666666666667,7,7,19,1
2525,3,4,20,12,3,8,13,23,0
